"","date","return","index"
"69",19911031,0.0190991248372262,69
"70",19911129,-0.0390413587943304,70
"71",19911231,0.103844877019422,71
"72",19920131,0.00893528038102865,72
"73",19920228,0.0167421812841179,73
"74",19920331,-0.0249222927465518,74
"75",19920430,0.00771778748899845,75
"76",19920529,0.00720634130293296,76
"77",19920630,-0.0206793783311867,77
"78",19920731,0.0388290098918615,78
"79",19920831,-0.0217972251461502,79
"80",19920930,0.0154138739676663,80
"81",19921030,0.0160700626192924,81
"82",19921130,0.0441104899263302,82
"83",19921231,0.0210198998504091,83
"84",19930129,0.0160902030873928,84
"85",19930226,0.00432665483448276,85
"86",19930331,0.0282323082243848,86
"87",19930430,-0.022592903096409,87
"88",19930528,0.0297326464318905,88
"89",19930630,0.00619022392636655,89
"90",19930730,0.00176034089472808,90
"91",19930831,0.0426359716662068,91
"92",19930930,0.00372969747950948,92
"93",19931029,0.0170853444004106,93
"94",19931130,-0.0204083584622987,94
"95",19931231,0.0239201307478472,95
"96",19940131,0.0308152428324846,96
"97",19940228,-0.022490116279296,97
"98",19940331,-0.0472387148671804,98
"99",19940429,0.0087713596019109,99
"100",19940531,0.00734449876495392,100
"101",19940630,-0.0286685653859473,101
"102",19940729,0.0298008714300206,102
"103",19940831,0.0456135732489072,103
"104",19940930,-0.0187106846880544,104
"105",19941031,0.0106489747293238,105
"106",19941130,-0.0394711127248046,106
"107",19941230,0.00962928511434206,107
"108",19950131,0.0170926339003277,108
"109",19950228,0.0397247183218648,109
"110",19950331,0.0261343448678541,110
"111",19950428,0.0224459641697226,111
"112",19950531,0.0322030577228822,112
"113",19950630,0.0328330825470282,113
"114",19950731,0.0436794664463087,114
"115",19950831,0.0128058531583373,115
"116",19950929,0.0303947524937025,116
"117",19951031,-0.0185149038430056,117
"118",19951130,0.0449467299259935,118
"119",19951229,0.0130981707922627,119
"120",19960131,0.026427239885923,120
"121",19960229,0.0177352981848793,121
"122",19960329,0.0137195150983724,122
"123",19960430,0.0288537192874118,123
"124",19960531,0.0240548540617607,124
"125",19960628,-0.0144861219712158,125
"126",19960731,-0.0576320465384783,126
"127",19960830,0.0388054788811298,127
"128",19960930,0.0507366114605481,128
"129",19961031,0.00816941498805565,129
"130",19961129,0.0604561177035728,130
"131",19961231,-0.0108286723340843,131
"132",19970131,0.0435337770313017,132
"133",19970228,-0.000814088631339769,133
"134",19970331,-0.0433673717998418,134
"135",19970430,0.0293524584598739,135
"136",19970530,0.0775545503313348,136
"137",19970630,0.0433749445075171,137
"138",19970731,0.0759908727857206,138
"139",19970829,-0.0261754507453752,139
"140",19970930,0.0607337081423301,140
"141",19971031,-0.0369611092261539,141
"142",19971128,0.0210009613654841,142
"143",19971231,0.0192438903207489,143
"144",19980130,-0.00233168768412296,144
"145",19980227,0.0748188754570061,145
"146",19980331,0.0513360523849039,146
"147",19980430,0.00887355545890637,147
"148",19980529,-0.0296261101532204,148
"149",19980630,0.01892497340532,149
"150",19980731,-0.0334347225788048,150
"151",19980831,-0.16674163132334,151
"152",19980930,0.0648098959799699,152
"153",19981030,0.0745826952273228,153
